"Name","Wert","Spalten-Alias"
"Schlierbach",505,"undefined"
"Altstadt",352,"undefined"
"Bergheim",528,"undefined"
"Weststadt",422,"undefined"
"Suedstadt",419,"undefined"
"Rohrbach",506,"undefined"
"Kirchheim",417,"undefined"
"Pfaffengrund",582,"undefined"
"Wieblingen",654,"undefined"
"Handschuhsheim",422,"undefined"
"Neuenheim",442,"undefined"
"Boxberg",404,"undefined"
"Emmertsgrund",404,"undefined"
"Ziegelhausen",560,"undefined"
"Bahnstadt",433,"undefined"

##kfz_dicht_pro_1000EW##
