"Name","Wert","Spalten-Alias"
"Schlierbach",3.6,"undefined"
"Altstadt",7.6,"undefined"
"Bergheim",55.8,"undefined"
"Weststadt",75.5,"undefined"
"Suedstadt",28.3,"undefined"
"Rohrbach",26.2,"undefined"
"Kirchheim",11.8,"undefined"
"Pfaffengrund",22.2,"undefined"
"Wieblingen",7.1,"undefined"
"Handschuhsheim",12.1,"undefined"
"Neuenheim",23.3,"undefined"
"Boxberg",17.9,"undefined"
"Emmertsgrund",25.8,"undefined"
"Ziegelhausen",6.4,"undefined"
"Bahnstadt",34.8,"undefined"


##EWproHektar
